"","url","Name","Record","Height","Weight","Reach","Stance","Style","DOB"
"12","http://ufcstats.com/fighter-details/4a57ebb14315b251","Randa Markos","10-11-1","5' 4""","115 lbs.","63""","Orthodox","Wrestling, Jiu Jitsu","Aug 10, 1985"
"13","http://ufcstats.com/fighter-details/601964f9654f911a","Tony Gravely","20-6-0","5' 5""","135 lbs.","69""","Orthodox",NA,"Sep 28, 1991"
"14","http://ufcstats.com/fighter-details/9cfbfae5fa1fdd93","Geraldo de Freitas","12-6-0","5' 7""","135 lbs.","72""","Orthodox",NA,"Sep 30, 1991"
"15","http://ufcstats.com/fighter-details/cdb96af67d096b1e","Alex Morono","18-6-0 (1 NC)","5' 11""","170 lbs.","72""","Orthodox",NA,"Aug 16, 1990"
"16","http://ufcstats.com/fighter-details/f748267c4ab6c127","Rhys McKee","10-4-1","6' 2""","170 lbs.","78""","Orthodox",NA,"Sep 10, 1995"
"17","http://ufcstats.com/fighter-details/1a9480fc288e55d7","Don'Tale Mayes","8-4-0","6' 6""","260 lbs.","81""","Orthodox",NA,"Jan 16, 1992"
"18","http://ufcstats.com/fighter-details/2c5a0b8317f8f27a","Roque Martinez","15-7-2","5' 10""","250 lbs.","72""","Orthodox",NA,"Mar 04, 1986"
"19","http://ufcstats.com/fighter-details/aa72b0f831d0bfe5","Deiveson Figueiredo","19-1-0","5' 5""","125 lbs.","68""","Orthodox",NA,"Dec 18, 1987"
"20","http://ufcstats.com/fighter-details/ab2b4ff41d6ebe0f","Alex Perez","24-5-0","5' 6""","125 lbs.","65""","Orthodox","Wrestling, Brazilian Jiu-Jitsu, Boxing","Mar 21, 1992"
"21","http://ufcstats.com/fighter-details/132deb59abae64b1","Valentina Shevchenko","19-3-0","5' 5""","125 lbs.","66""","Southpaw","Muay Thai, Taekwondo","Mar 07, 1988"
"22","http://ufcstats.com/fighter-details/8e1f36476ef02a6a","Jennifer Maia","18-6-1","5' 4""","125 lbs.","64""","Orthodox","Brazilian Jiu-Jitsu, Muay Thai, Boxing","Oct 06, 1988"
"23","http://ufcstats.com/fighter-details/f2b6fdb20675b11c","Mike Perry","14-6-0","5' 10""","170 lbs.","71""","Orthodox",NA,"Sep 15, 1991"
"24","http://ufcstats.com/fighter-details/4b47e71384a9522f","Tim Means","30-12-1 (1 NC)","6' 2""","170 lbs.","75""","Orthodox",NA,"Feb 20, 1984"
"25","http://ufcstats.com/fighter-details/e872e9a9a902c045","Katlyn Chookagian","14-4-0","5' 9""","125 lbs.","68""","Orthodox",NA,"Dec 28, 1988"
"26","http://ufcstats.com/fighter-details/98215d037be5bcb7","Cynthia Calvillo","9-1-1","5' 4""","125 lbs.","64""","Orthodox","Brazilian jiu-jitsu, wrestling, muay Thai","Jul 13, 1987"
"27","http://ufcstats.com/fighter-details/140745cbbcb023ac","Mauricio Rua","27-11-1","6' 1""","205 lbs.","76""","Orthodox","Muay Thai, Brazilian Jiu-Jitsu","Nov 25, 1981"
"28","http://ufcstats.com/fighter-details/eabf206b162b3b83","Paul Craig","13-4-1","6' 3""","205 lbs.","76""","Orthodox",NA,"Nov 27, 1987"
"29","http://ufcstats.com/fighter-details/792be9a24df82ed6","Brandon Moreno","17-5-1","5' 7""","125 lbs.","70""","Orthodox",NA,"Dec 07, 1993"
"30","http://ufcstats.com/fighter-details/6e15f63b6c2e2c15","Brandon Royval","12-4-0","5' 9""","125 lbs.","68""","Southpaw",NA,"Aug 16, 1992"
"31","http://ufcstats.com/fighter-details/b9437600497350f3","Joaquin Buckley","11-3-0","5' 10""","185 lbs.","76""","Southpaw",NA,"Apr 27, 1994"
"32","http://ufcstats.com/fighter-details/c878270af633eb11","Jordan Wright","11-0-0 (1 NC)","6' 2""","205 lbs.","77""","Orthodox",NA,"Oct 07, 1991"
"33","http://ufcstats.com/fighter-details/d7338bcb141abd2c","Antonina Shevchenko","8-2-0","5' 8""","125 lbs.","67""","Southpaw","Muay Thai, Kickboxing, Boxing, Taekwondo, Judo","Nov 20, 1984"
"34","http://ufcstats.com/fighter-details/6551c64fbcd1a467","Ariane Lipski","13-5-0","5' 6""","125 lbs.","67""","Orthodox","Muay Thai","Jan 26, 1994"
"35","http://ufcstats.com/fighter-details/8a1f3b5c526cd6e6","Daniel Rodriguez","13-1-0","6' 1""","170 lbs.","74""","Southpaw",NA,"Dec 31, 1986"
"36","http://ufcstats.com/fighter-details/9d19d9e4aa2662e8","Nicolas Dalby","18-3-1 (2 NC)","5' 11""","170 lbs.","74""","Orthodox",NA,"Nov 16, 1984"
"37","http://ufcstats.com/fighter-details/cf65d56b0755ed3b","Alan Jouban","16-7-0","6' 0""","170 lbs.","73""","Southpaw",NA,"Nov 25, 1981"
"38","http://ufcstats.com/fighter-details/c730a0be691dc081","Jared Gooden","17-4-0","6' 0""","170 lbs.","77""","Orthodox",NA,"Dec 05, 1993"
"39","http://ufcstats.com/fighter-details/d6c0cdd7e467c440","Kyle Daukaus","9-1-0","6' 3""","185 lbs.","76""","Southpaw",NA,"Feb 27, 1993"
"40","http://ufcstats.com/fighter-details/71505842fb6455c3","Dustin Stoltzfus","13-1-0","6' 0""","185 lbs.","75""","Orthodox",NA,"Nov 15, 1991"
"41","http://ufcstats.com/fighter-details/afe8d5b39ff7fca2","Louis Cosce","7-0-0","5' 9""","170 lbs.","71""","Orthodox",NA,"Aug 27, 1995"
"42","http://ufcstats.com/fighter-details/a6c20202c701e5ca","Sasha Palatnikov","5-2-0","6' 1""","170 lbs.","72""","Switch",NA,"Mar 15, 1989"
"43","http://ufcstats.com/fighter-details/7ff97850e8c32bda","Glover Teixeira","32-7-0","6' 2""","205 lbs.","76""","Orthodox","Brazilian Jiu-Jitsu","Oct 28, 1979"
"44","http://ufcstats.com/fighter-details/dea070ed4a2a8281","Thiago Santos","21-8-0","6' 2""","205 lbs.","76""","Orthodox","Capoeira, Muay Thai, Brazilian Jiu-Jitsu","Jan 07, 1984"
"45","http://ufcstats.com/fighter-details/3738e68d2261e60f","Andrei Arlovski","30-19-0 (2 NC)","6' 3""","240 lbs.","77""","Orthodox","Sambo, Boxing","Feb 04, 1979"
"46","http://ufcstats.com/fighter-details/04c8b08b16a5b99e","Tanner Boser","19-7-1","6' 2""","255 lbs.","75""","Orthodox",NA,"Aug 02, 1991"
"47","http://ufcstats.com/fighter-details/b9f28e7045fdfce7","Raoni Barcelos","16-1-0","5' 7""","135 lbs.","67""","Orthodox","Wrestling, Jiu-jitsu","May 01, 1987"
"48","http://ufcstats.com/fighter-details/b4537562f88ac582","Khalid Taha","13-3-0 (1 NC)","5' 5""","135 lbs.","69""","Orthodox",NA,"Feb 15, 1992"
"49","http://ufcstats.com/fighter-details/9560ff14eb3129f7","Giga Chikadze","12-2-0","6' 0""","145 lbs.","74""","Orthodox","Goju-ryu Karate, Kickboxing","Aug 25, 1988"
"50","http://ufcstats.com/fighter-details/f0fad0e9f3b65752","Jamey Simmons","7-3-0","5' 6""","145 lbs.","70""","Orthodox",NA,"Sep 11, 1992"
"51","http://ufcstats.com/fighter-details/c41d426cc7326d1b","Yan Xiaonan","13-1-0 (1 NC)","5' 5""","115 lbs.","63""","Orthodox","Sanda,BJJ","Jun 16, 1989"
"52","http://ufcstats.com/fighter-details/ec34349e7dffcde7","Claudia Gadelha","18-5-0","5' 4""","115 lbs.","63""","Orthodox","Brazilian Jiu-Jitsu, Muay Thai","Dec 07, 1988"
"53","http://ufcstats.com/fighter-details/b27a1fcb56a3035a","Trevin Giles","13-2-0","6' 0""","185 lbs.","74""","Orthodox",NA,"Aug 06, 1992"
"54","http://ufcstats.com/fighter-details/899923ff6ab13917","Bevon Lewis","7-3-0","6' 3""","185 lbs.","79""","Orthodox",NA,"May 05, 1991"
"55","http://ufcstats.com/fighter-details/c0badf3243907e59","Alexandr Romanov","13-0-0","6' 2""","262 lbs.","75""","Southpaw",NA,"Dec 11, 1990"
"56","http://ufcstats.com/fighter-details/ab943cd2c3c17825","Marcos Rogerio de Lima","17-8-1","6' 1""","253 lbs.","75""","Orthodox",NA,"Jun 25, 1985"
"57","http://ufcstats.com/fighter-details/92a9aa9c93192871","Darren Elkins","26-9-0","5' 10""","145 lbs.","71""","Orthodox","Wrestling","May 16, 1984"
"58","http://ufcstats.com/fighter-details/7bde387d50829adf","Eduardo Garagorri","13-2-0","5' 9""","145 lbs.","70""","Orthodox",NA,"May 28, 1989"
"59","http://ufcstats.com/fighter-details/b0d6a1d8ac3d563d","Max Griffin","16-8-0","5' 11""","170 lbs.","76""","Orthodox",NA,"Nov 29, 1985"
"60","http://ufcstats.com/fighter-details/3d074044a33825e7","Ramiz Brahimaj","8-3-0","5' 10""","170 lbs.","72""","Orthodox",NA,"Nov 17, 1992"
"61","http://ufcstats.com/fighter-details/93b62c5f2ba18e51","Gustavo Lopez","12-5-0","5' 5""","135 lbs.","67""","Orthodox",NA,"Jun 27, 1989"
"62","http://ufcstats.com/fighter-details/c5a126ace82a6025","Anthony Birchak","16-7-0","5' 8""","135 lbs.","69""","Orthodox","Wrestling","May 16, 1986"
"63","http://ufcstats.com/fighter-details/65578a75fa7900e3","Uriah Hall","17-9-0","6' 0""","185 lbs.","79""","Orthodox",NA,"Jul 31, 1984"
"64","http://ufcstats.com/fighter-details/1f454354805b6f75","Anderson Silva","34-11-0 (1 NC)","6' 2""","185 lbs.","77""","Southpaw","Muay Thai, Wing Chun, Brazilian Jiu-Jitsu, Taekwondo, Capoeira","Apr 14, 1975"
"65","http://ufcstats.com/fighter-details/d9c6f19f958643e9","Bryce Mitchell","14-1-0","5' 10""","145 lbs.","70""","Southpaw",NA,"Oct 04, 1994"
"66","http://ufcstats.com/fighter-details/8fd808923cffff82","Andre Fili","21-8-0","5' 11""","145 lbs.","74""","Orthodox",NA,"Jun 25, 1990"
"67","http://ufcstats.com/fighter-details/85073dbd1be65ed9","Greg Hardy","7-2-0 (1 NC)","6' 5""","265 lbs.","80""","Orthodox",NA,"Jul 28, 1988"
"68","http://ufcstats.com/fighter-details/068f8a189a47fea6","Maurice Greene","9-6-0","6' 7""","258 lbs.","80""","Orthodox","BJJ","Jul 05, 1986"
"69","http://ufcstats.com/fighter-details/3a46b268013afede","Kevin Holland","20-5-0","6' 3""","185 lbs.","81""","Orthodox",NA,"Nov 05, 1992"
"70","http://ufcstats.com/fighter-details/318572f6f74b760d","Charlie Ontiveros","11-7-0","6' 2""","185 lbs.","78""","Switch",NA,"Jul 04, 1991"
"71","http://ufcstats.com/fighter-details/d945aae53e3e54e6","Thiago Moises","14-4-0","5' 9""","155 lbs.","70""","Orthodox","Brazilian Jiu-Jitsu","Mar 23, 1995"
"72","http://ufcstats.com/fighter-details/887961364be5ceb3","Bobby Green","27-11-1","5' 10""","155 lbs.","71""","Orthodox","Boxing, Wrestling, Brazilian Jiu-Jitsu","Sep 09, 1986"
"73","http://ufcstats.com/fighter-details/262a7d06203657e6","Alexander Hernandez","12-3-0","5' 9""","155 lbs.","72""","Orthodox",NA,"Oct 01, 1992"
"74","http://ufcstats.com/fighter-details/feaf00f3373435d6","Chris Gruetzemacher","14-4-0","5' 8""","155 lbs.","68""","Orthodox",NA,"Jun 16, 1986"
"75","http://ufcstats.com/fighter-details/0232cabbc30a2372","Adrian Yanez","12-3-0","5' 7""","135 lbs.","70""","Orthodox",NA,"Nov 29, 1993"
"76","http://ufcstats.com/fighter-details/f6e5972c9d16c40e","Victor Rodriguez","7-3-0","5' 5""","135 lbs.","67""","Switch",NA,"Sep 05, 1992"
"77","http://ufcstats.com/fighter-details/045f25b3a4c08e81","Jack Marshman","23-10-0","6' 0""","185 lbs.","73""","Orthodox",NA,"Dec 19, 1989"
"78","http://ufcstats.com/fighter-details/5f3805dda9661cba","Jason Witt","18-6-0","5' 10""","170 lbs.","70""","Orthodox",NA,"Nov 07, 1986"
"79","http://ufcstats.com/fighter-details/f9a20a17d712ef7c","Cole Williams","11-3-0","6' 0""","170 lbs.","73""","Orthodox",NA,"Dec 15, 1983"
"80","http://ufcstats.com/fighter-details/e4277e87a789d687","Dustin Jacoby","13-5-0","6' 3""","205 lbs.","76""","Orthodox",NA,"Apr 04, 1988"
"81","http://ufcstats.com/fighter-details/ba1e6cb3d43f7430","Justin Ledet","9-4-0 (1 NC)","6' 4""","205 lbs.","80""","Orthodox",NA,"Sep 28, 1988"
"82","http://ufcstats.com/fighter-details/46e0d677f91bacc0","Miles Johns","11-1-0","5' 7""","135 lbs.","66""","Orthodox",NA,"Mar 30, 1994"
"83","http://ufcstats.com/fighter-details/0c258d1d8e16e5f1","Kevin Natividad","9-2-0","5' 6""","145 lbs.","70""","Orthodox",NA,"Apr 02, 1993"
"84","http://ufcstats.com/fighter-details/032cc3922d871c7f","Khabib Nurmagomedov","29-0-0","5' 10""","155 lbs.","70""","Orthodox","Sambo","Sep 20, 1988"
"85","http://ufcstats.com/fighter-details/9e8f6c728eb01124","Justin Gaethje","22-3-0","5' 11""","155 lbs.","70""","Orthodox","Wrestling","Nov 14, 1988"
"86","http://ufcstats.com/fighter-details/e1147d3d2dabe1ce","Robert Whittaker","23-5-0","6' 0""","185 lbs.","73""","Orthodox",NA,"Dec 20, 1990"
"87","http://ufcstats.com/fighter-details/13a0275fa13c4d26","Jared Cannonier","13-5-0","5' 11""","185 lbs.","77""","Switch",NA,"Mar 16, 1984"
"88","http://ufcstats.com/fighter-details/279566840aa55bf2","Alexander Volkov","32-8-0","6' 7""","250 lbs.","80""","Orthodox","Karate, Kickboxing","Oct 24, 1988"
"89","http://ufcstats.com/fighter-details/03f982ca3735070c","Walt Harris","13-9-0 (1 NC)","6' 5""","250 lbs.","77""","Southpaw","Boxing","Jun 10, 1983"
"90","http://ufcstats.com/fighter-details/547afe1017e72dbe","Phillip Hawes","9-2-0","6' 0""","185 lbs.","77""","Orthodox",NA,"Jan 08, 1989"
"91","http://ufcstats.com/fighter-details/d4270315cbcf2569","Jacob Malkoun","4-1-0","5' 9""","185 lbs.","73""","Orthodox",NA,"Aug 26, 1995"
"92","http://ufcstats.com/fighter-details/729d4bd5a6cd0a97","Lauren Murphy","14-4-0","5' 5""","125 lbs.","67""","Orthodox",NA,"Jul 27, 1983"
"93","http://ufcstats.com/fighter-details/f300763147320d12","Liliya Shakirova","8-2-0","5' 4""","125 lbs.","65""","Orthodox",NA,"Oct 24, 1991"
"94","http://ufcstats.com/fighter-details/d802174b0c0c1f4e","Magomed Ankalaev","14-1-0","6' 3""","205 lbs.","75""","Orthodox",NA,"Jun 02, 1992"
"95","http://ufcstats.com/fighter-details/cd13728ae1151f46","Ion Cutelaba","15-6-0 (1 NC)","6' 1""","205 lbs.","75""","Southpaw","Sambo, Judo, Kickboxing, Greco-Roman Wrestling","Dec 14, 1993"
"96","http://ufcstats.com/fighter-details/c62fbc117d57b943","Tai Tuivasa","11-3-0","6' 2""","264 lbs.","75""","Southpaw",NA,"Mar 16, 1993"
"97","http://ufcstats.com/fighter-details/ebc1f40e00e0c481","Stefan Struve","33-13-0","6' 11""","265 lbs.","84""","Orthodox",NA,"Feb 18, 1988"
"98","http://ufcstats.com/fighter-details/e7bba7ce4d6c7b07","Casey Kenney","16-2-1","5' 7""","140 lbs.","68""","Southpaw",NA,"Mar 20, 1991"
"99","http://ufcstats.com/fighter-details/329e403448756217","Nathaniel Wood","17-5-0","5' 6""","140 lbs.","69""","Orthodox",NA,"May 08, 1993"
"100","http://ufcstats.com/fighter-details/01afe0916a40c7c5","Shavkat Rakhmonov","13-0-0","6' 1""","170 lbs.","77""","Orthodox",NA,"Oct 23, 1994"
"101","http://ufcstats.com/fighter-details/57b10fca4f9c9a7a","Alex Oliveira","22-9-1 (2 NC)","5' 11""","170 lbs.","76""","Orthodox","Muay Thai, Brazilian Jiu-Jitsu","Feb 21, 1988"
"102","http://ufcstats.com/fighter-details/74f9448b97bf8bec","Da-Un Jung","13-2-1","6' 4""","205 lbs.","78""","Orthodox",NA,"Dec 07, 1993"
"103","http://ufcstats.com/fighter-details/d156513a19acf856","Sam Alvey","33-14-1 (1 NC)","6' 2""","205 lbs.","75""","Southpaw",NA,"May 06, 1986"
"104","http://ufcstats.com/fighter-details/f29a6350c69f4a33","Miranda Maverick","10-2-0","5' 3""","125 lbs.","65""","Southpaw","BJJ, Kickboxing, Muay Thai","Jul 01, 1997"
"105","http://ufcstats.com/fighter-details/eebc23626e38f5dc","Liana Jojua","8-4-0","5' 4""","125 lbs.","62""","Orthodox",NA,"Mar 22, 1995"
"106","http://ufcstats.com/fighter-details/58bbef3770bb2dfc","Joel Alvarez","18-2-0","6' 3""","155 lbs.","77""","Orthodox",NA,"Mar 02, 1994"
"107","http://ufcstats.com/fighter-details/d06f8869449ba7bd","Alexander Yakovlev","24-10-1","6' 3""","155 lbs.","74""","Southpaw",NA,"Jul 18, 1984"
"108","http://ufcstats.com/fighter-details/def8166ff24bd237","Brian Ortega","15-1-0 (1 NC)","5' 8""","145 lbs.","69""","Switch",NA,"Feb 21, 1991"
"109","http://ufcstats.com/fighter-details/c451d67c09c55418","Chan Sung Jung","16-6-0","5' 7""","145 lbs.","72""","Orthodox",NA,"Mar 17, 1987"
"110","http://ufcstats.com/fighter-details/6a1901c62ab3870f","Jessica Andrade","21-8-0","5' 1""","115 lbs.","62""","Orthodox","Boxing, Brazilian Jiu-Jitsu, Muay Thai","Sep 25, 1991"
"111","http://ufcstats.com/fighter-details/70e1f8a821b72c8b","Jimmy Crute","12-1-0","6' 2""","205 lbs.","74""","Orthodox",NA,"Mar 04, 1996"
"112","http://ufcstats.com/fighter-details/476fe566d2df676e","Modestas Bukauskas","11-3-0","6' 3""","205 lbs.","78""","Switch",NA,"Feb 10, 1994"
"113","http://ufcstats.com/fighter-details/8f6a18831a120817","James Krause","28-9-0","6' 2""","170 lbs.","73""","Orthodox",NA,"Jun 04, 1986"
"114","http://ufcstats.com/fighter-details/6f7c616b98e18c29","Claudio Silva","14-2-0","5' 11""","170 lbs.","71""","Southpaw",NA,"Sep 06, 1982"
"115","http://ufcstats.com/fighter-details/f2477cf43c4975cc","Jonathan Martinez","13-3-0","5' 8""","145 lbs.","70""","Southpaw",NA,"Apr 20, 1994"
"116","http://ufcstats.com/fighter-details/2b074403b7c6cdb4","Thomas Almeida","22-4-0","5' 7""","145 lbs.","70""","Southpaw","Muay Thai, Brazilian Jiu-Jitsu","Jul 31, 1991"
"117","http://ufcstats.com/fighter-details/7772b283d288dbe2","Guram Kutateladze","12-2-0","5' 11""","155 lbs.","72""","Orthodox",NA,"Jan 08, 1992"
"118","http://ufcstats.com/fighter-details/72db2a14ffa73ece","Mateusz Gamrot","17-1-0 (1 NC)","5' 10""","155 lbs.","70""","Southpaw",NA,"Dec 11, 1990"
"119","http://ufcstats.com/fighter-details/38c7f72747f4f712","Gillian Robertson","9-4-0","5' 5""","125 lbs.","63""","Orthodox",NA,"May 17, 1995"
"120","http://ufcstats.com/fighter-details/5c126c6aac3ef364","Poliana Botelho","8-3-0","5' 8""","115 lbs.","67""","Orthodox","Muay Thai, Brazilian Jiu Jitsu","Dec 15, 1988"
"121","http://ufcstats.com/fighter-details/285ae0b4a68221f4","Junyong Park","12-4-0","5' 10""","185 lbs.","73""","Orthodox",NA,"Feb 27, 1991"
"122","http://ufcstats.com/fighter-details/e9ac7bfb65c25497","John Phillips","22-11-0 (1 NC)","5' 11""","185 lbs.","75""","Southpaw",NA,"Jun 09, 1985"
"123","http://ufcstats.com/fighter-details/1e4f273069fb9e85","Fares Ziam","11-3-0","6' 1""","155 lbs.","75""","Orthodox",NA,"Mar 21, 1997"
"124","http://ufcstats.com/fighter-details/af9f42e6894047fc","Jamie Mullarkey","12-4-0","6' 0""","155 lbs.","74""","Orthodox",NA,"Aug 17, 1994"
"125","http://ufcstats.com/fighter-details/950d0ef5c17157c5","Maxim Grishin","31-8-2","6' 3""","220 lbs.","78""","Orthodox",NA,"May 02, 1984"
"126","http://ufcstats.com/fighter-details/af997f7611673880","Gadzhimurad Antigulov","20-8-0","5' 11""","205 lbs.","70""","Orthodox","Freestyle Wrestling, Boxing, Sambo","Feb 09, 1987"
"127","http://ufcstats.com/fighter-details/0fd5f4b838e890cc","Said Nurmagomedov","14-2-0","5' 8""","135 lbs.","70""","Orthodox",NA,"Apr 05, 1992"
"128","http://ufcstats.com/fighter-details/ef1182eb28c17d4e","Mark Striegl","18-3-0 (1 NC)","5' 8""","135 lbs.","70""","Southpaw",NA,"Jun 23, 1988"
"129","http://ufcstats.com/fighter-details/65f09bacd3957381","Cory Sandhagen","13-2-0","5' 11""","135 lbs.","70""","Switch",NA,"Apr 20, 1992"
"130","http://ufcstats.com/fighter-details/fea79f9bc8c68769","Marlon Moraes","23-7-1","5' 6""","135 lbs.","67""","Orthodox",NA,"Apr 26, 1988"
"131","http://ufcstats.com/fighter-details/64a50dad704d1d49","Edson Barboza","21-9-0","5' 11""","145 lbs.","75""","Orthodox",NA,"Jan 21, 1986"
"132","http://ufcstats.com/fighter-details/87a1dc546b1c5caf","Makwan Amirkhani","16-5-0","5' 10""","145 lbs.","72""","Southpaw","Wrestling,Submission Wrestling","Nov 08, 1988"
"133","http://ufcstats.com/fighter-details/c9cf753cfdf77fc2","Marcin Tybura","20-6-0","6' 3""","249 lbs.","78""","Orthodox",NA,"Nov 09, 1985"
"134","http://ufcstats.com/fighter-details/bd58d34e39b7b12a","Ben Rothwell","38-13-0","6' 4""","265 lbs.","78""","Orthodox","Kickboxing, Brazilian Jiu-Jitsu","Oct 17, 1981"
"135","http://ufcstats.com/fighter-details/0d7b51c9d2649a6e","Dricus Du Plessis","15-2-0","6' 1""","185 lbs.","76""","Switch",NA,"Jan 14, 1994"
"136","http://ufcstats.com/fighter-details/2ac4628c08ec5125","Markus Perez","12-4-0","6' 1""","185 lbs.","73""","Orthodox",NA,"Jun 22, 1988"
"137","http://ufcstats.com/fighter-details/399afbabc02376b5","Tom Aspinall","9-2-0","6' 5""","256 lbs.","78""","Orthodox",NA,"Apr 11, 1993"
"138","http://ufcstats.com/fighter-details/c9a94278df042f46","Alan Baudot","8-2-0","6' 3""","243 lbs.","79""","Orthodox",NA,"Feb 01, 1988"
"139","http://ufcstats.com/fighter-details/54f64b5e283b0ce7","Ilia Topuria","9-0-0","5' 7""","145 lbs.","69""","Orthodox",NA,"Jan 21, 1997"
"140","http://ufcstats.com/fighter-details/52c2ae6d2f2d2613","Youssef Zalal","10-3-0","5' 10""","145 lbs.","72""","Switch",NA,"Sep 04, 1996"
"141","http://ufcstats.com/fighter-details/1588b787bda7b540","Tom Breese","12-2-0","6' 3""","185 lbs.","73""","Southpaw",NA,"Sep 26, 1991"
"142","http://ufcstats.com/fighter-details/9cd047a828dd7515","KB Bhullar","8-1-0","6' 4""","185 lbs.","78""","Switch",NA,"Oct 12, 1991"
"143","http://ufcstats.com/fighter-details/d0aaedcf7ccd0b45","Chris Daukaus","10-3-0","6' 3""","250 lbs.","76""","Orthodox",NA,"Sep 25, 1989"
"144","http://ufcstats.com/fighter-details/d31a5546c0e9b213","Rodrigo Nascimento","8-1-0","6' 2""","246 lbs.","80""","Orthodox",NA,"Nov 26, 1992"
"145","http://ufcstats.com/fighter-details/257b0c8d6f199895","Impa Kasanganay","8-1-0","5' 11""","185 lbs.","75""","Orthodox",NA,"Jan 17, 1994"
"146","http://ufcstats.com/fighter-details/1a08b01fdabb6ae2","Tony Kelley","7-2-0","5' 9""","135 lbs.","70""","Switch",NA,"Jan 21, 1987"
"147","http://ufcstats.com/fighter-details/e87a13e02c01331d","Ali AlQaisi","8-5-0","5' 6""","135 lbs.","68""","Orthodox",NA,"Sep 23, 1990"
"148","http://ufcstats.com/fighter-details/a0e6753c42698f13","Omar Morales","10-1-0","5' 11""","145 lbs.","73""","Orthodox",NA,"Oct 17, 1985"
"149","http://ufcstats.com/fighter-details/68d4a891e5cf2029","Tracy Cortez","8-1-0","5' 5""","135 lbs.","65""","Orthodox",NA,"Dec 10, 1993"
"150","http://ufcstats.com/fighter-details/5e6294b37bbef029","Stephanie Egger","5-2-0","5' 6""","135 lbs.","68""","Orthodox",NA,"Aug 12, 1988"
"151","http://ufcstats.com/fighter-details/f00ac08ab056af5d","Tagir Ulanbekov","13-1-0","5' 7""","125 lbs.","70""","Southpaw",NA,"Aug 07, 1991"
"152","http://ufcstats.com/fighter-details/294aa73dbf37d281","Bruno Silva","10-5-2 (1 NC)","5' 4""","125 lbs.","65""","Orthodox",NA,"Mar 16, 1990"
"153","http://ufcstats.com/fighter-details/634e2fb70bde3fd5","Holly Holm","14-5-0","5' 8""","135 lbs.","69""","Southpaw","Boxing, Kickboxing","Oct 17, 1981"
"154","http://ufcstats.com/fighter-details/578ef12674df1e6a","Irene Aldana","12-6-0","5' 9""","135 lbs.","68""","Orthodox",NA,"Mar 26, 1988"
"155","http://ufcstats.com/fighter-details/a2ea77e974c5889f","Carlos Felipe","9-1-0","6' 0""","245 lbs.","75""","Orthodox",NA,"Jan 12, 1995"
"156","http://ufcstats.com/fighter-details/1eff7bc0f815b270","Yorgan De Castro","6-2-0","6' 0""","250 lbs.","74""","Orthodox",NA,"Dec 19, 1986"
"157","http://ufcstats.com/fighter-details/1d239d571e342453","Germaine de Randamie","10-4-0","5' 9""","135 lbs.","71""","Orthodox","Muay Thai, Boxing","Apr 24, 1984"
"158","http://ufcstats.com/fighter-details/3253b16d38ae087d","Julianna Pena","10-4-0","5' 6""","135 lbs.","69""","Orthodox","Kickboxing, Brazilian Jiu-Jitsu","Aug 19, 1989"
"159","http://ufcstats.com/fighter-details/60425d07ef4b91a7","Kyler Phillips","8-1-0","5' 8""","135 lbs.","72""","Orthodox",NA,"Jun 12, 1995"
